"date","state","party","amt"
"2020-03-01","AL","D",3642
"2020-03-01","AL","R",1451
"2020-03-01","AK","D",351
"2020-03-01","AK","R",439
"2020-03-01","AZ","D",4474
"2020-03-01","AZ","R",2490
"2020-03-01","AR","D",1502
"2020-03-01","AR","R",847
"2020-03-01","CA","D",39830
"2020-03-01","CA","R",6615
"2020-03-01","CO","D",4371
"2020-03-01","CO","R",1826
"2020-03-01","CT","D",3591
"2020-03-01","CT","R",630
"2020-03-01","DE","D",1390
"2020-03-01","DE","R",308
"2020-03-01","FL","D",16489
"2020-03-01","FL","R",7592
"2020-03-01","GA","D",6649
"2020-03-01","GA","R",2842
"2020-03-01","HI","D",619
"2020-03-01","HI","R",310
"2020-03-01","ID","D",682
"2020-03-01","ID","R",721
"2020-03-01","IL","D",8382
"2020-03-01","IL","R",2188
"2020-03-01","IN","D",3032
"2020-03-01","IN","R",1641
"2020-03-01","IA","D",2034
"2020-03-01","IA","R",798
"2020-03-01","KS","D",1502
"2020-03-01","KS","R",816
"2020-03-01","KY","D",2175
"2020-03-01","KY","R",1010
"2020-03-01","LA","D",1512
"2020-03-01","LA","R",1105
"2020-03-01","ME","D",1300
"2020-03-01","ME","R",371
"2020-03-01","MD","D",6262
"2020-03-01","MD","R",1041
"2020-03-01","MA","D",8098
"2020-03-01","MA","R",1044
"2020-03-01","MI","D",6429
"2020-03-01","MI","R",2443
"2020-03-01","MN","D",3524
"2020-03-01","MN","R",1238
"2020-03-01","MS","D",849
"2020-03-01","MS","R",754
"2020-03-01","MO","D",3296
"2020-03-01","MO","R",1663
"2020-03-01","MT","D",525
"2020-03-01","MT","R",495
"2020-03-01","NE","D",857
"2020-03-01","NE","R",568
"2020-03-01","NV","D",1865
"2020-03-01","NV","R",1027
"2020-03-01","NH","D",1285
"2020-03-01","NH","R",452
"2020-03-01","NJ","D",7744
"2020-03-01","NJ","R",1576
"2020-03-01","NM","D",1129
"2020-03-01","NM","R",596
"2020-03-01","NY","D",18574
"2020-03-01","NY","R",3125
"2020-03-01","NC","D",11787
"2020-03-01","NC","R",2804
"2020-03-01","ND","D",275
"2020-03-01","ND","R",320
"2020-03-01","OH","D",7062
"2020-03-01","OH","R",2877
"2020-03-01","OK","D",1612
"2020-03-01","OK","R",1351
"2020-03-01","OR","D",2974
"2020-03-01","OR","R",1086
"2020-03-01","PA","D",9897
"2020-03-01","PA","R",2558
"2020-03-01","RI","D",1009
"2020-03-01","RI","R",300
"2020-03-01","SC","D",4378
"2020-03-01","SC","R",2069
"2020-03-01","SD","D",326
"2020-03-01","SD","R",325
"2020-03-01","TN","D",4191
"2020-03-01","TN","R",2041
"2020-03-01","TX","D",15787
"2020-03-01","TX","R",8749
"2020-03-01","UT","D",1365
"2020-03-01","UT","R",995
"2020-03-01","VT","D",645
"2020-03-01","VT","R",300
"2020-03-01","VA","D",9402
"2020-03-01","VA","R",2316
"2020-03-01","DC","D",1717
"2020-03-01","DC","R",300
"2020-03-01","WA","D",5964
"2020-03-01","WA","R",1998
"2020-03-01","WV","D",831
"2020-03-01","WV","R",504
"2020-03-01","WI","D",2970
"2020-03-01","WI","R",1148
"2020-03-01","WY","D",222
"2020-03-01","WY","R",350
"2020-03-02","AL","D",9961
"2020-03-02","AL","R",2562
"2020-03-02","AK","D",435
"2020-03-02","AK","R",676
"2020-03-02","AZ","D",5865
"2020-03-02","AZ","R",3618
"2020-03-02","AR","D",2836
"2020-03-02","AR","R",1476
"2020-03-02","CA","D",82942
"2020-03-02","CA","R",10086
"2020-03-02","CO","D",5998
"2020-03-02","CO","R",2922
"2020-03-02","CT","D",4276
"2020-03-02","CT","R",1175
"2020-03-02","DE","D",1564
"2020-03-02","DE","R",555
"2020-03-02","FL","D",20826
"2020-03-02","FL","R",12367
"2020-03-02","GA","D",8401
"2020-03-02","GA","R",4889
"2020-03-02","HI","D",769
"2020-03-02","HI","R",504
"2020-03-02","ID","D",876
"2020-03-02","ID","R",1194
"2020-03-02","IL","D",10905
"2020-03-02","IL","R",3683
"2020-03-02","IN","D",3913
"2020-03-02","IN","R",2996
"2020-03-02","IA","D",2393
"2020-03-02","IA","R",1410
"2020-03-02","KS","D",1873
"2020-03-02","KS","R",1357
"2020-03-02","KY","D",2723
"2020-03-02","KY","R",2091
"2020-03-02","LA","D",1917
"2020-03-02","LA","R",1943
"2020-03-02","ME","D",1582
"2020-03-02","ME","R",691
"2020-03-02","MD","D",7616
"2020-03-02","MD","R",1813
"2020-03-02","MA","D",10460
"2020-03-02","MA","R",1882
"2020-03-02","MI","D",7641
"2020-03-02","MI","R",4083
"2020-03-02","MN","D",4472
"2020-03-02","MN","R",2124
"2020-03-02","MS","D",1138
"2020-03-02","MS","R",1378
"2020-03-02","MO","D",4133
"2020-03-02","MO","R",2675
"2020-03-02","MT","D",654
"2020-03-02","MT","R",813
"2020-03-02","NE","D",1036
"2020-03-02","NE","R",1000
"2020-03-02","NV","D",2310
"2020-03-02","NV","R",1531
"2020-03-02","NH","D",1504
"2020-03-02","NH","R",801
"2020-03-02","NJ","D",9217
"2020-03-02","NJ","R",2683
"2020-03-02","NM","D",1405
"2020-03-02","NM","R",907
"2020-03-02","NY","D",23222
"2020-03-02","NY","R",5662
"2020-03-02","NC","D",17368
"2020-03-02","NC","R",5104
"2020-03-02","ND","D",314
"2020-03-02","ND","R",576
"2020-03-02","OH","D",8570
"2020-03-02","OH","R",5294
"2020-03-02","OK","D",2461
"2020-03-02","OK","R",2292
"2020-03-02","OR","D",3966
"2020-03-02","OR","R",1768
"2020-03-02","PA","D",11752
"2020-03-02","PA","R",4621
"2020-03-02","RI","D",1148
"2020-03-02","RI","R",486
"2020-03-02","SC","D",4720
"2020-03-02","SC","R",3454
"2020-03-02","SD","D",382
"2020-03-02","SD","R",578
"2020-03-02","TN","D",8038
"2020-03-02","TN","R",3685
"2020-03-02","TX","D",18987
"2020-03-02","TX","R",12960
"2020-03-02","UT","D",1707
"2020-03-02","UT","R",1522
"2020-03-02","VT","D",782
"2020-03-02","VT","R",414
"2020-03-02","VA","D",17093
"2020-03-02","VA","R",3903
"2020-03-02","DC","D",2442
"2020-03-02","DC","R",400
"2020-03-02","WA","D",7728
"2020-03-02","WA","R",3019
"2020-03-02","WV","D",975
"2020-03-02","WV","R",1072
"2020-03-02","WI","D",3551
"2020-03-02","WI","R",1921
"2020-03-02","WY","D",297
"2020-03-02","WY","R",602
"2020-03-03","AL","D",6031
"2020-03-03","AL","R",761
"2020-03-03","AK","D",357
"2020-03-03","AK","R",308
"2020-03-03","AZ","D",4715
"2020-03-03","AZ","R",1112
"2020-03-03","AR","D",2289
"2020-03-03","AR","R",506
"2020-03-03","CA","D",77921
"2020-03-03","CA","R",2988
"2020-03-03","CO","D",5245
"2020-03-03","CO","R",808
"2020-03-03","CT","D",3342
"2020-03-03","CT","R",422
"2020-03-03","DE","D",1219
"2020-03-03","DE","R",300
"2020-03-03","FL","D",16149
"2020-03-03","FL","R",3103
"2020-03-03","GA","D",6150
"2020-03-03","GA","R",1299
"2020-03-03","HI","D",672
"2020-03-03","HI","R",300
"2020-03-03","ID","D",694
"2020-03-03","ID","R",425
"2020-03-03","IL","D",8477
"2020-03-03","IL","R",1012
"2020-03-03","IN","D",3051
"2020-03-03","IN","R",769
"2020-03-03","IA","D",1922
"2020-03-03","IA","R",498
"2020-03-03","KS","D",1433
"2020-03-03","KS","R",473
"2020-03-03","KY","D",2073
"2020-03-03","KY","R",616
"2020-03-03","LA","D",1484
"2020-03-03","LA","R",587
"2020-03-03","ME","D",1520
"2020-03-03","ME","R",325
"2020-03-03","MD","D",5706
"2020-03-03","MD","R",564
"2020-03-03","MA","D",9653
"2020-03-03","MA","R",633
"2020-03-03","MI","D",7254
"2020-03-03","MI","R",1186
"2020-03-03","MN","D",16436
"2020-03-03","MN","R",690
"2020-03-03","MS","D",2525
"2020-03-03","MS","R",456
"2020-03-03","MO","D",4403
"2020-03-03","MO","R",806
"2020-03-03","MT","D",527
"2020-03-03","MT","R",342
"2020-03-03","NE","D",825
"2020-03-03","NE","R",368
"2020-03-03","NV","D",1878
"2020-03-03","NV","R",496
"2020-03-03","NH","D",1186
"2020-03-03","NH","R",337
"2020-03-03","NJ","D",7028
"2020-03-03","NJ","R",753
"2020-03-03","NM","D",1116
"2020-03-03","NM","R",396
"2020-03-03","NY","D",17803
"2020-03-03","NY","R",1478
"2020-03-03","NC","D",13253
"2020-03-03","NC","R",1530
"2020-03-03","ND","D",275
"2020-03-03","ND","R",300
"2020-03-03","OH","D",6487
"2020-03-03","OH","R",1346
"2020-03-03","OK","D",2532
"2020-03-03","OK","R",719
"2020-03-03","OR","D",3232
"2020-03-03","OR","R",598
"2020-03-03","PA","D",8956
"2020-03-03","PA","R",1344
"2020-03-03","RI","D",905
"2020-03-03","RI","R",300
"2020-03-03","SC","D",3526
"2020-03-03","SC","R",830
"2020-03-03","SD","D",321
"2020-03-03","SD","R",300
"2020-03-03","TN","D",5965
"2020-03-03","TN","R",1010
"2020-03-03","TX","D",14664
"2020-03-03","TX","R",3910
"2020-03-03","UT","D",1386
"2020-03-03","UT","R",512
"2020-03-03","VT","D",614
"2020-03-03","VT","R",300
"2020-03-03","VA","D",12001
"2020-03-03","VA","R",1110
"2020-03-03","DC","D",1937
"2020-03-03","DC","R",300
"2020-03-03","WA","D",6359
"2020-03-03","WA","R",948
"2020-03-03","WV","D",757
"2020-03-03","WV","R",409
"2020-03-03","WI","D",2919
"2020-03-03","WI","R",597
"2020-03-03","WY","D",224
"2020-03-03","WY","R",300
"2020-03-04","AL","D",3632
"2020-03-04","AL","R",1541
"2020-03-04","AK","D",506
"2020-03-04","AK","R",409
"2020-03-04","AZ","D",6977
"2020-03-04","AZ","R",2216
"2020-03-04","AR","D",2099
"2020-03-04","AR","R",921
"2020-03-04","CA","D",46115
"2020-03-04","CA","R",6722
