"party","price","state","time"
"R",92,"AL",2020-07-07 10:51:29
"D",9,"AL",2020-07-07 10:51:29
"R",82,"AK",2020-07-07 10:51:31
"D",18,"AK",2020-07-07 10:51:31
"D",63,"AZ",2020-07-07 10:51:33
"R",38,"AZ",2020-07-07 10:51:33
"R",91,"AR",2020-07-07 10:51:35
"D",9,"AR",2020-07-07 10:51:35
"D",97,"CA",2020-07-07 10:51:37
"R",5,"CA",2020-07-07 10:51:37
"D",91,"CO",2020-07-07 10:51:39
"R",12,"CO",2020-07-07 10:51:39
"D",93,"CT",2020-07-07 10:51:40
"R",6,"CT",2020-07-07 10:51:40
"D",96,"DE",2020-07-07 10:51:42
"R",4,"DE",2020-07-07 10:51:42
"D",99,"DC",2020-07-07 10:51:44
"R",2,"DC",2020-07-07 10:51:44
"D",60,"FL",2020-07-07 10:51:46
"R",42,"FL",2020-07-07 10:51:46
"R",55,"GA",2020-07-07 10:51:48
"D",46,"GA",2020-07-07 10:51:48
"D",97,"HI",2020-07-07 10:51:50
"R",5,"HI",2020-07-07 10:51:50
"R",93,"ID",2020-07-07 10:51:52
"D",9,"ID",2020-07-07 10:51:52
"D",96,"IL",2020-07-07 10:51:54
"R",4,"IL",2020-07-07 10:51:54
"R",83,"IN",2020-07-07 10:51:56
"D",17,"IN",2020-07-07 10:51:56
"R",61,"IA",2020-07-07 10:51:58
"D",42,"IA",2020-07-07 10:51:58
"R",85,"KS",2020-07-07 10:52:00
"D",14,"KS",2020-07-07 10:52:00
"R",90,"KY",2020-07-07 10:52:02
"D",10,"KY",2020-07-07 10:52:02
"R",89,"LA",2020-07-07 10:52:04
"D",11,"LA",2020-07-07 10:52:04
"D",86,"ME",2020-07-07 10:52:06
"R",13,"ME",2020-07-07 10:52:06
"D",95,"ME-01",2020-07-07 10:52:08
"R",5,"ME-01",2020-07-07 10:52:08
"R",64,"ME-02",2020-07-07 10:52:09
"D",37,"ME-02",2020-07-07 10:52:09
"D",96,"MD",2020-07-07 10:52:11
"R",5,"MD",2020-07-07 10:52:11
"D",95,"MA",2020-07-07 10:52:13
"R",4,"MA",2020-07-07 10:52:13
"D",75,"MI",2020-07-07 10:52:15
"R",27,"MI",2020-07-07 10:52:15
"D",82,"MN",2020-07-07 10:52:33
"R",20,"MN",2020-07-07 10:52:33
"R",90,"MS",2020-07-07 10:52:35
"D",11,"MS",2020-07-07 10:52:35
"R",81,"MO",2020-07-07 10:52:37
"D",19,"MO",2020-07-07 10:52:37
"R",84,"MT",2020-07-07 10:52:38
"D",16,"MT",2020-07-07 10:52:38
"R",93,"NE",2020-07-07 10:52:40
"D",7,"NE",2020-07-07 10:52:40
"R",95,"NE-01",2020-07-07 10:52:42
"D",7,"NE-01",2020-07-07 10:52:42
"D",69,"NE-02",2020-07-07 10:52:44
"R",33,"NE-02",2020-07-07 10:52:44
"R",97,"NE-03",2020-07-07 10:52:46
"D",4,"NE-03",2020-07-07 10:52:46
"D",84,"NV",2020-07-07 10:52:48
"R",17,"NV",2020-07-07 10:52:48
"D",76,"NH",2020-07-07 10:52:50
"R",25,"NH",2020-07-07 10:52:50
"D",94,"NJ",2020-07-07 10:52:52
"R",6,"NJ",2020-07-07 10:52:52
"D",91,"NM",2020-07-07 10:52:54
"R",8,"NM",2020-07-07 10:52:54
"D",97,"NY",2020-07-07 10:52:56
"R",4,"NY",2020-07-07 10:52:56
"D",58,"NC",2020-07-07 10:52:57
"R",43,"NC",2020-07-07 10:52:57
"R",94,"ND",2020-07-07 10:52:59
"D",7,"ND",2020-07-07 10:52:59
"R",56,"OH",2020-07-07 10:53:01
"D",44,"OH",2020-07-07 10:53:01
"R",93,"OK",2020-07-07 10:53:03
"D",8,"OK",2020-07-07 10:53:03
"D",95,"OR",2020-07-07 10:53:05
"R",5,"OR",2020-07-07 10:53:05
"D",71,"PA",2020-07-07 10:53:07
"R",31,"PA",2020-07-07 10:53:07
"D",96,"RI",2020-07-07 10:53:08
"R",5,"RI",2020-07-07 10:53:08
"R",82,"SC",2020-07-07 10:53:10
"D",17,"SC",2020-07-07 10:53:10
"R",93,"SD",2020-07-07 10:53:12
"D",7,"SD",2020-07-07 10:53:12
"R",92,"TN",2020-07-07 10:53:14
"D",9,"TN",2020-07-07 10:53:14
"R",68,"TX",2020-07-07 10:53:16
"D",35,"TX",2020-07-07 10:53:16
"R",88,"UT",2020-07-07 10:53:18
"D",12,"UT",2020-07-07 10:53:18
"D",97,"VT",2020-07-07 10:53:36
"R",3,"VT",2020-07-07 10:53:36
"D",91,"VA",2020-07-07 10:53:38
"R",11,"VA",2020-07-07 10:53:38
"D",96,"WA",2020-07-07 10:53:40
"R",6,"WA",2020-07-07 10:53:40
"R",95,"WV",2020-07-07 10:53:42
"D",7,"WV",2020-07-07 10:53:42
"D",69,"WI",2020-07-07 10:53:43
"R",33,"WI",2020-07-07 10:53:43
"R",95,"WY",2020-07-07 10:53:45
"D",5,"WY",2020-07-07 10:53:45
"D",64,"USA",2020-07-07 10:53:47
"R",39,"USA",2020-07-07 10:53:47
"L",1,"USA",2020-07-07 10:53:47
"G",1,"USA",2020-07-07 10:53:47
